OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
1,1,633930,4332120,1
2,1,633960,4332120,1
3,1,633990,4332120,1
4,1,634020,4332120,1
5,1,634050,4332120,1
6,1,634080,4332120,1
7,1,633930,4332090,1
8,1,633960,4332090,1
9,1,633990,4332090,1
10,1,634020,4332090,1
11,1,634050,4332090,1
12,1,634080,4332090,1
13,1,633930,4332060,1
14,1,633960,4332060,1
15,1,633990,4332060,1
16,1,634020,4332060,1
17,1,634050,4332060,1
18,1,634080,4332060,1
19,1,634410,4332060,1
20,1,634440,4332060,1
21,1,634470,4332060,1
22,1,634500,4332060,1
23,1,634530,4332060,1
24,1,634560,4332060,1
25,1,634590,4332060,1
26,1,634620,4332060,1
27,1,634650,4332060,1
28,1,634680,4332060,1
29,1,634710,4332060,1
30,1,634740,4332060,1
31,1,634770,4332060,1
32,1,633930,4332030,1
33,1,633960,4332030,1
34,1,633990,4332030,1
35,1,634020,4332030,1
36,2,634050,4332030,2
37,1,634080,4332030,1
38,1,634110,4332030,1
39,1,634140,4332030,1
40,2,634170,4332030,2
41,2,634200,4332030,2
42,1,634230,4332030,1
43,2,634260,4332030,2
44,2,634380,4332030,2
45,1,634410,4332030,1
46,1,634440,4332030,1
47,1,634470,4332030,1
48,1,634500,4332030,1
49,1,634530,4332030,1
50,1,634560,4332030,1
51,1,634590,4332030,1
52,1,634620,4332030,1
53,1,634650,4332030,1
54,1,634680,4332030,1
55,1,634710,4332030,1
56,1,634740,4332030,1
57,1,634770,4332030,1
58,1,634800,4332030,1
59,1,634830,4332030,1
60,1,634860,4332030,1
61,1,633930,4332000,1
62,1,633960,4332000,1
63,1,633990,4332000,1
64,1,634020,4332000,1
65,2,634050,4332000,2
66,2,634080,4332000,2
67,2,634110,4332000,2
68,1,634140,4332000,1
69,1,634170,4332000,1
70,1,634200,4332000,1
71,1,634230,4332000,1
72,1,634260,4332000,1
73,2,634290,4332000,2
74,2,634320,4332000,2
75,1,634350,4332000,1
76,2,634380,4332000,2
77,2,634410,4332000,2
78,1,634440,4332000,1
79,1,634470,4332000,1
80,1,634500,4332000,1
81,1,634530,4332000,1
82,1,634560,4332000,1
83,1,634590,4332000,1
84,1,634620,4332000,1
85,1,634650,4332000,1
86,1,634680,4332000,1
87,1,634710,4332000,1
88,2,634740,4332000,2
89,2,634770,4332000,2
90,1,634800,4332000,1
91,2,634830,4332000,2
92,2,634860,4332000,2
93,2,634890,4332000,2
94,1,633930,4331970,1
95,1,633960,4331970,1
96,1,633990,4331970,1
97,2,634020,4331970,2
98,2,634050,4331970,2
99,2,634080,4331970,2
100,2,634110,4331970,2
101,2,634140,4331970,2
102,1,634170,4331970,1
103,1,634200,4331970,1
104,1,634230,4331970,1
105,2,634260,4331970,2
106,2,634290,4331970,2
107,2,634320,4331970,2
108,1,634350,4331970,1
109,1,634380,4331970,1
110,2,634410,4331970,2
111,2,634440,4331970,2
112,2,634470,4331970,2
113,1,634500,4331970,1
114,1,634530,4331970,1
115,1,634560,4331970,1
116,1,634590,4331970,1
117,1,634620,4331970,1
118,1,634650,4331970,1
119,1,634680,4331970,1
120,1,634710,4331970,1
121,1,634740,4331970,1
122,2,634770,4331970,2
123,2,634800,4331970,2
124,2,634830,4331970,2
125,1,634860,4331970,1
126,2,634890,4331970,2
127,1,633930,4331940,1
128,1,633960,4331940,1
129,1,633990,4331940,1
130,2,634020,4331940,2
131,2,634050,4331940,2
132,2,634080,4331940,2
133,2,634110,4331940,2
134,2,634140,4331940,2
135,1,634170,4331940,1
136,1,634200,4331940,1
137,2,634230,4331940,2
138,2,634260,4331940,2
139,2,634290,4331940,2
140,1,634320,4331940,1
141,1,634350,4331940,1
142,2,634380,4331940,2
143,2,634410,4331940,2
144,2,634440,4331940,2
145,2,634470,4331940,2
146,2,634500,4331940,2
147,2,634530,4331940,2
148,1,634560,4331940,1
149,1,634590,4331940,1
150,1,634620,4331940,1
151,1,634650,4331940,1
152,1,634680,4331940,1
153,1,634710,4331940,1
154,1,634740,4331940,1
155,2,634770,4331940,2
156,1,634800,4331940,1
157,1,634830,4331940,1
158,1,634860,4331940,1
159,1,634890,4331940,1
160,1,634920,4331940,1
161,1,634950,4331940,1
162,1,633930,4331910,1
163,1,633960,4331910,1
164,1,633990,4331910,1
165,1,634020,4331910,1
166,2,634050,4331910,2
167,2,634080,4331910,2
168,1,634110,4331910,1
169,1,634140,4331910,1
170,2,634170,4331910,2
171,2,634200,4331910,2
172,2,634230,4331910,2
173,2,634260,4331910,2
174,2,634290,4331910,2
175,2,634320,4331910,2
176,2,634350,4331910,2
177,2,634380,4331910,2
178,1,634410,4331910,1
179,2,634440,4331910,2
180,2,634470,4331910,2
181,2,634500,4331910,2
182,2,634530,4331910,2
183,2,634560,4331910,2
184,2,634590,4331910,2
185,1,634620,4331910,1
186,1,634650,4331910,1
187,1,634680,4331910,1
188,1,634710,4331910,1
189,1,634740,4331910,1
190,1,634770,4331910,1
191,1,634800,4331910,1
192,1,634830,4331910,1
193,1,634860,4331910,1
194,1,634890,4331910,1
195,1,634920,4331910,1
196,1,634950,4331910,1
197,1,634980,4331910,1
198,1,635010,4331910,1
199,1,635040,4331910,1
200,1,635070,4331910,1
201,1,635100,4331910,1
202,1,635130,4331910,1
203,1,635160,4331910,1
204,1,635190,4331910,1
205,1,633930,4331880,1
206,1,633960,4331880,1
207,1,633990,4331880,1
208,1,634020,4331880,1
209,1,634050,4331880,1
210,2,634080,4331880,2
211,1,634110,4331880,1
212,1,634140,4331880,1
213,1,634170,4331880,1
214,1,634200,4331880,1
215,1,634230,4331880,1
216,2,634260,4331880,2
217,2,634290,4331880,2
218,2,634320,4331880,2
219,2,634350,4331880,2
220,2,634380,4331880,2
221,2,634410,4331880,2
222,2,634440,4331880,2
