Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,313,633930.000000000000000,4332120.000000000000000,313.209197998046870
,285,633960.000000000000000,4332120.000000000000000,284.604980468750000
,256,633990.000000000000000,4332120.000000000000000,256.320098876953120
,228,634020.000000000000000,4332120.000000000000000,228.473190307617190
,201,634050.000000000000000,4332120.000000000000000,201.246124267578130
,175,634080.000000000000000,4332120.000000000000000,174.928558349609370
,150,634110.000000000000000,4332120.000000000000000,150.000000000000000
,127,634140.000000000000000,4332120.000000000000000,127.279220581054690
,108,634170.000000000000000,4332120.000000000000000,108.166542053222660
,95,634200.000000000000000,4332120.000000000000000,94.868331909179688
,90,634230.000000000000000,4332120.000000000000000,90.000000000000000
,90,634260.000000000000000,4332120.000000000000000,90.000000000000000
,95,634290.000000000000000,4332120.000000000000000,94.868331909179688
,108,634320.000000000000000,4332120.000000000000000,108.166542053222660
,127,634350.000000000000000,4332120.000000000000000,127.279220581054690
,150,634380.000000000000000,4332120.000000000000000,150.000000000000000
,162,634410.000000000000000,4332120.000000000000000,161.554946899414060
,175,634440.000000000000000,4332120.000000000000000,174.928558349609370
,192,634470.000000000000000,4332120.000000000000000,192.093734741210940
,212,634500.000000000000000,4332120.000000000000000,212.132034301757810
,234,634530.000000000000000,4332120.000000000000000,234.307495117187500
,255,634560.000000000000000,4332120.000000000000000,254.558441162109370
,277,634590.000000000000000,4332120.000000000000000,276.586334228515630
,297,634620.000000000000000,4332120.000000000000000,296.984863281250000
,319,634650.000000000000000,4332120.000000000000000,318.904388427734370
,339,634680.000000000000000,4332120.000000000000000,339.411254882812500
,361,634710.000000000000000,4332120.000000000000000,361.247833251953120
,379,634740.000000000000000,4332120.000000000000000,379.473327636718750
,390,634770.000000000000000,4332120.000000000000000,390.000000000000000
,402,634800.000000000000000,4332120.000000000000000,402.492248535156250
,417,634830.000000000000000,4332120.000000000000000,416.773315429687500
,433,634860.000000000000000,4332120.000000000000000,432.666168212890620
,450,634890.000000000000000,4332120.000000000000000,450.000000000000000
,469,634920.000000000000000,4332120.000000000000000,468.614990234375000
,488,634950.000000000000000,4332120.000000000000000,488.364624023437500
,509,634980.000000000000000,4332120.000000000000000,509.116882324218750
,514,635010.000000000000000,4332120.000000000000000,513.517272949218750
,511,635040.000000000000000,4332120.000000000000000,510.881591796875000
,510,635070.000000000000000,4332120.000000000000000,510.000000000000000
,511,635100.000000000000000,4332120.000000000000000,510.881591796875000
,514,635130.000000000000000,4332120.000000000000000,513.517272949218750
,518,635160.000000000000000,4332120.000000000000000,517.880310058593750
,524,635190.000000000000000,4332120.000000000000000,523.927490234375000
,532,635220.000000000000000,4332120.000000000000000,531.601379394531250
,541,635250.000000000000000,4332120.000000000000000,540.832702636718750
,552,635280.000000000000000,4332120.000000000000000,551.543273925781250
,564,635310.000000000000000,4332120.000000000000000,563.648803710937500
,577,635340.000000000000000,4332120.000000000000000,577.061523437500000
,591,635370.000000000000000,4332120.000000000000000,590.931457519531250
,604,635400.000000000000000,4332120.000000000000000,603.738342285156250
,618,635430.000000000000000,4332120.000000000000000,617.737792968750000
,633,635460.000000000000000,4332120.000000000000000,632.850708007812500
,649,635490.000000000000000,4332120.000000000000000,648.999206542968750
,666,635520.000000000000000,4332120.000000000000000,666.108093261718750
,684,635550.000000000000000,4332120.000000000000000,684.105224609375000
,700,635580.000000000000000,4332120.000000000000000,699.714233398437500
,716,635610.000000000000000,4332120.000000000000000,715.611633300781250
,732,635640.000000000000000,4332120.000000000000000,732.393310546875000
,750,635670.000000000000000,4332120.000000000000000,750.000000000000000
,765,635700.000000000000000,4332120.000000000000000,764.852905273437500
,778,635730.000000000000000,4332120.000000000000000,778.267333984375000
,793,635760.000000000000000,4332120.000000000000000,792.590698242187500
,808,635790.000000000000000,4332120.000000000000000,807.774719238281250
,824,635820.000000000000000,4332120.000000000000000,823.771789550781250
,841,635850.000000000000000,4332120.000000000000000,840.535522460937500
,858,635880.000000000000000,4332120.000000000000000,858.020996093750000
,876,635910.000000000000000,4332120.000000000000000,876.184936523437500
,895,635940.000000000000000,4332120.000000000000000,894.986022949218750
,914,635970.000000000000000,4332120.000000000000000,914.385009765625000
,934,636000.000000000000000,4332120.000000000000000,934.344665527343750
,955,636030.000000000000000,4332120.000000000000000,954.829833984375000
,976,636060.000000000000000,4332120.000000000000000,975.807373046875000
,997,636090.000000000000000,4332120.000000000000000,997.246215820312500
,1018,636120.000000000000000,4332120.000000000000000,1018.233764648437500
,1040,636150.000000000000000,4332120.000000000000000,1039.663452148437500
,1061,636180.000000000000000,4332120.000000000000000,1060.660156250000000
,1082,636210.000000000000000,4332120.000000000000000,1082.081298828125000
,1103,636240.000000000000000,4332120.000000000000000,1103.086547851562500
,1124,636270.000000000000000,4332120.000000000000000,1124.499877929687500
,1146,636300.000000000000000,4332120.000000000000000,1145.512939453125000
,1167,636330.000000000000000,4332120.000000000000000,1166.919067382812500
,1189,636360.000000000000000,4332120.000000000000000,1188.696777343750000
,306,633930.000000000000000,4332090.000000000000000,305.941162109375000
,277,633960.000000000000000,4332090.000000000000000,276.586334228515630
,247,633990.000000000000000,4332090.000000000000000,247.386337280273440
,218,634020.000000000000000,4332090.000000000000000,218.403289794921880
,190,634050.000000000000000,4332090.000000000000000,189.736663818359370
,162,634080.000000000000000,4332090.000000000000000,161.554946899414060
,134,634110.000000000000000,4332090.000000000000000,134.164077758789060
,108,634140.000000000000000,4332090.000000000000000,108.166542053222660
,85,634170.000000000000000,4332090.000000000000000,84.852813720703125
,67,634200.000000000000000,4332090.000000000000000,67.082038879394531
,60,634230.000000000000000,4332090.000000000000000,60.000000000000000
,60,634260.000000000000000,4332090.000000000000000,60.000000000000000
,67,634290.000000000000000,4332090.000000000000000,67.082038879394531
,85,634320.000000000000000,4332090.000000000000000,84.852813720703125
,108,634350.000000000000000,4332090.000000000000000,108.166542053222660
,124,634380.000000000000000,4332090.000000000000000,123.693168640136720
,134,634410.000000000000000,4332090.000000000000000,134.164077758789060
,150,634440.000000000000000,4332090.000000000000000,150.000000000000000
,170,634470.000000000000000,4332090.000000000000000,169.705627441406250
,192,634500.000000000000000,4332090.000000000000000,192.093734741210940
,212,634530.000000000000000,4332090.000000000000000,212.132034301757810
,234,634560.000000000000000,4332090.000000000000000,234.307495117187500
,255,634590.000000000000000,4332090.000000000000000,254.558441162109370
,277,634620.000000000000000,4332090.000000000000000,276.586334228515630
,297,634650.000000000000000,4332090.000000000000000,296.984863281250000
,319,634680.000000000000000,4332090.000000000000000,318.904388427734370
,342,634710.000000000000000,4332090.000000000000000,342.052612304687500
,351,634740.000000000000000,4332090.000000000000000,351.140991210937500
,362,634770.000000000000000,4332090.000000000000000,362.491394042968750
,376,634800.000000000000000,4332090.000000000000000,375.898925781250000
,391,634830.000000000000000,4332090.000000000000000,391.152130126953120
,408,634860.000000000000000,4332090.000000000000000,408.044128417968750
,426,634890.000000000000000,4332090.000000000000000,426.380126953125000
,446,634920.000000000000000,4332090.000000000000000,445.982055664062500
,467,634950.000000000000000,4332090.000000000000000,466.690490722656250
,488,634980.000000000000000,4332090.000000000000000,488.364624023437500
,484,635010.000000000000000,4332090.000000000000000,483.735473632812500
,481,635040.000000000000000,4332090.000000000000000,480.936584472656250
,480,635070.000000000000000,4332090.000000000000000,480.000000000000000
,481,635100.000000000000000,4332090.000000000000000,480.936584472656250
,484,635130.000000000000000,4332090.000000000000000,483.735473632812500
,488,635160.000000000000000,4332090.000000000000000,488.364624023437500
,495,635190.000000000000000,4332090.000000000000000,494.772674560546870
,503,635220.000000000000000,4332090.000000000000000,502.891632080078130
,513,635250.000000000000000,4332090.000000000000000,512.640197753906250
,524,635280.000000000000000,4332090.000000000000000,523.927490234375000
,537,635310.000000000000000,4332090.000000000000000,536.656311035156250
,551,635340.000000000000000,4332090.000000000000000,550.726806640625000
,564,635370.000000000000000,4332090.000000000000000,563.648803710937500
,577,635400.000000000000000,4332090.000000000000000,577.061523437500000
,592,635430.000000000000000,4332090.000000000000000,591.692504882812500
,607,635460.000000000000000,4332090.000000000000000,607.453674316406250
,624,635490.000000000000000,4332090.000000000000000,624.259582519531250
,642,635520.000000000000000,4332090.000000000000000,642.028015136718750
,659,635550.000000000000000,4332090.000000000000000,658.634948730468750
,674,635580.000000000000000,4332090.000000000000000,674.166137695312500
,691,635610.000000000000000,4332090.000000000000000,690.651855468750000
,708,635640.000000000000000,4332090.000000000000000,708.025451660156250
,725,635670.000000000000000,4332090.000000000000000,724.982788085937500
,738,635700.000000000000000,4332090.000000000000000,737.902404785156250
,752,635730.000000000000000,4332090.000000000000000,751.797851562500000
,767,635760.000000000000000,4332090.000000000000000,766.615966796875000
,782,635790.000000000000000,4332090.000000000000000,782.304260253906250
,799,635820.000000000000000,4332090.000000000000000,798.811645507812500
,816,635850.000000000000000,4332090.000000000000000,816.088256835937500
,834,635880.000000000000000,4332090.000000000000000,834.086303710937500
,853,635910.000000000000000,4332090.000000000000000,852.760253906250000
,872,635940.000000000000000,4332090.000000000000000,872.066528320312500
,892,635970.000000000000000,4332090.000000000000000,891.964111328125000
,912,636000.000000000000000,4332090.000000000000000,912.414367675781250
,933,636030.000000000000000,4332090.000000000000000,933.380981445312500
,955,636060.000000000000000,4332090.000000000000000,954.829833984375000
,976,636090.000000000000000,4332090.000000000000000,975.807373046875000
,997,636120.000000000000000,4332090.000000000000000,997.246215820312500
,1018,636150.000000000000000,4332090.000000000000000,1018.233764648437500
,1040,636180.000000000000000,4332090.000000000000000,1039.663452148437500
,1061,636210.000000000000000,4332090.000000000000000,1060.660156250000000
,1082,636240.000000000000000,4332090.000000000000000,1082.081298828125000
,1103,636270.000000000000000,4332090.000000000000000,1103.086547851562500
,1124,636300.000000000000000,4332090.000000000000000,1124.499877929687500
,1146,636330.000000000000000,4332090.000000000000000,1146.298339843750000
,1168,636360.000000000000000,4332090.000000000000000,1168.460571289062500
,301,633930.000000000000000,4332060.000000000000000,301.496276855468750
,272,633960.000000000000000,4332060.000000000000000,271.661560058593750
,242,633990.000000000000000,4332060.000000000000000,241.867736816406250
,212,634020.000000000000000,4332060.000000000000000,212.132034301757810
,182,634050.000000000000000,4332060.000000000000000,182.482879638671870
,153,634080.000000000000000,4332060.000000000000000,152.970581054687500
,124,634110.000000000000000,4332060.000000000000000,123.693168640136720
